"X","Obskey","Poskey","Tripkey","Group","Species","Age","Plumage","Sex","Count","Distance","Transect","Behaviour","Association","Direction","Prey","TurbineHeight","Notes"
333249,1100333249,110068425,110001070,NA,"6360",NA,NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333250,1100333250,110068426,110001070,NA,"6340",NA,"T",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333251,1100333251,110068426,110001070,NA,"6360","A","W",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333252,1100333252,110068426,110001070,NA,"5780","A",NA,NA,3,"2",0,NA,NA,NA,NA,NA,NA
333253,1100333253,110068427,110001070,NA,"6360","A","W",NA,4,"A",1,NA,NA,NA,NA,NA,NA
333254,1100333254,110068427,110001070,NA,"5780","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333255,1100333255,110068427,110001070,NA,"6360","A","W",NA,1,"1",1,NA,NA,NA,NA,NA,NA
333256,1100333256,110068427,110001070,NA,"5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333257,1100333257,110068428,110001070,NA,"6360",NA,"W",NA,1,"D",1,NA,NA,NA,NA,NA,NA
333258,1100333258,110068428,110001070,NA,"5780","A",NA,NA,3,"2",0,NA,NA,NA,NA,NA,NA
333259,1100333259,110068428,110001070,NA,"5780","1",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333260,1100333260,110068428,110001070,NA,"6360","A",NA,NA,3,"B",1,NA,NA,NA,NA,NA,NA
333261,1100333261,110068428,110001070,NA,"710","4",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333262,1100333262,110068428,110001070,NA,"5910","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333263,1100333263,110068429,110001070,NA,"5780","A",NA,NA,3,"2",0,NA,NA,NA,NA,NA,NA
333264,1100333264,110068429,110001070,NA,"6360","A","W",NA,2,"B",1,NA,NA,NA,NA,NA,NA
333265,1100333265,110068429,110001070,NA,"5780","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333266,1100333266,110068430,110001070,NA,"710",NA,NA,NA,1,"D",1,NA,NA,NA,NA,NA,NA
333267,1100333267,110068430,110001070,NA,"6360","A","W",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333268,1100333268,110068430,110001070,NA,"6000","A",NA,NA,1,"D",1,"DF",NA,NA,NA,NA,NA
333269,1100333269,110068431,110001070,NA,"6360","A","W",NA,4,"A",1,NA,NA,NA,NA,NA,NA
333270,1100333270,110068431,110001070,NA,"710","A",NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333271,1100333271,110068431,110001070,NA,"6360",NA,"W",NA,1,"2",0,NA,NA,NA,NA,NA,NA
333272,1100333272,110068432,110001070,"11","6360",NA,"W",NA,3,"E",0,NA,NA,NA,NA,NA,NA
333273,1100333273,110068432,110001070,"11","5780","A",NA,NA,2,"2",0,"Z",NA,NA,NA,NA,NA
333274,1100333274,110068432,110001070,NA,"6360",NA,"W",NA,2,"D",1,NA,NA,NA,NA,NA,NA
333275,1100333275,110068432,110001070,NA,"6360","A","W",NA,2,"B",1,NA,NA,NA,NA,NA,NA
333276,1100333276,110068432,110001070,NA,"64320",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,NA
333277,1100333277,110068432,110001070,NA,"5780","A",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333278,1100333278,110068432,110001070,NA,"6360",NA,"W",NA,3,"A",1,NA,NA,NA,NA,NA,NA
333279,1100333279,110068432,110001070,NA,"6360",NA,"W",NA,2,"A",1,NA,NA,NA,NA,NA,NA
333280,1100333280,110068433,110001070,NA,"5900","A",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333281,1100333281,110068433,110001070,NA,"5900","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333282,1100333282,110068433,110001070,NA,"5780","1",NA,NA,1,"1",0,NA,NA,NA,NA,NA,NA
333283,1100333283,110068433,110001070,NA,"6360",NA,NA,NA,3,"B",1,NA,NA,NA,NA,NA,NA
333284,1100333284,110068434,110001070,NA,"5780","1",NA,NA,1,"B",1,NA,NA,NA,NA,NA,NA
333285,1100333285,110068434,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM BCK40 TOWING 45° 2KM"
333286,1100333286,110068435,110001070,"12","5780","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333287,1100333287,110068435,110001070,"12","6360",NA,NA,NA,6,"C",1,NA,NA,NA,NA,NA,NA
333288,1100333288,110068435,110001070,NA,"6360",NA,"W",NA,6,"A",1,NA,NA,NA,NA,NA,NA
333289,1100333289,110068436,110001070,NA,"5920","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333290,1100333290,110068437,110001070,NA,"6020","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
333291,1100333291,110068437,110001070,NA,"6020","1",NA,NA,1,"2",0,NA,NA,NA,NA,NA,NA
333292,1100333292,110068437,110001070,NA,"6360",NA,NA,NA,1,"D",1,"DF",NA,NA,NA,NA,NA
333293,1100333293,110068437,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ZB187 TOWING 0° 2KM"
333294,1100333294,110068438,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ??? TOWING 315° 3KM"
333295,1100333295,110068438,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"BEAM ??? TOWING 315° 5KM"
333296,1100333296,110068438,110001070,NA,"9999",NA,NA,NA,1,"E",0,NA,NA,NA,NA,NA,"SEINER ??? TOWING 315° 8KM"
333297,1100333297,110068438,110001070,NA,"710","A",NA,NA,1,"D",1,NA,NA,NA,NA,NA,NA
333298,1100333298,110068439,110001070,NA,"6000","A",NA,NA,1,"2",1,NA,NA,NA,NA,NA,NA
